日期,项目方,Chain,项目类型,损失金额($),漏洞类型,attack tx,Analyse,Reference Link
2024.2.15,Particle Trade,ETH ETH,,139k,Unverified User Input,https://app.blocksec.com/explorer/tx/eth/0x2cc3c3cfbdf04441f3349e49768c909ac252ace6f78b24a25d4700a47883514a|https://app.blocksec.com/explorer/tx/eth/0xd9b3e229acc755881890394cc76fde0d7b83b1abd4d046b0f69c1fd9fd495ff6,,
2024.2.21,DeezNutz_404,ETH,,170k,Accounting Error,https://app.blocksec.com/explorer/tx/eth/0xbeefd8faba2aa82704afe821fd41b670319203dd9090f7af8affdf6bcfec2d61,,
2024.2.23,Blueberry,ETH,,1.4m,Vulnerable Price Dependency,https://app.blocksec.com/explorer/tx/eth/0xf0464b01d962f714eee9d4392b2494524d0e10ce3eb3723873afd1346b8b06e4,,
2024.2.28,Seneca,ETH Arbitrum Arbitrum ETH ETH ETH ETH ETH,,6m,Arbitrary Call,https://app.blocksec.com/explorer/tx/eth/0x9f3712672be7a120757d42fbe15ceefe9578914946bacbd0f3531e7fb7305576|https://app.blocksec.com/explorer/tx/arbitrum/0x5e9c14e30ff1d56da37c17d84378650881095bda2802f0a0bff90fd3a8b11e31|https://app.blocksec.com/explorer/tx/arbitrum/0x3fe4b1486f2a800aa39131b359c0fc4fda0f4aaf621710c6b6754b4107a00fd1|https://app.blocksec.com/explorer/tx/eth/0x6e1baa7ade5bbbabd1cefeb807327aec6082b8b467b9ff74772959c27520c743|https://app.blocksec.com/explorer/tx/eth/0xee02781eda4108f8fb3cca8355218961ad3a3e769b3de8a869acb8ed1654a67e|https://app.blocksec.com/explorer/tx/eth/0x6da8f7cb19d6e56cd9b74298677986b3b55cb9db902175c2627b7d57a85e820d|https://app.blocksec.com/explorer/tx/eth/0xb82239e256404e94edd650c68cea92e146c2f361a09eea11b02624eeaffbaae1|https://app.blocksec.com/explorer/tx/eth/0x23fcf9d4517f7cc39815b09b0a80c023ab2c8196c826c93b4100f2e26b701286,,
2024.3.5,WOO,Arbitrum Arbitrum Arbitrum,,8.8m,Vulnerable Price Dependency,https://app.blocksec.com/explorer/tx/arbitrum/0xe80a16678b5008d5be1484ec6e9e77dc6307632030553405863ffb38c1f94266|https://app.blocksec.com/explorer/tx/arbitrum/0x40e1b8c78083fc666cb7598efcecd0ae0af313fc41441386e4db716c2808ce07|https://app.blocksec.com/explorer/tx/arbitrum/0x57e555328b7def90e1fc2a0f7aa6df8d601a8f15803800a5aaf0a20382f21fbd,,
2024.3.6,TGBS Token,BSC,,150k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0xa0408770d158af99a10c60474d6433f4c20f3052e54423f4e590321341d4f2a4,,
2024.3.8,unizen,Polygon ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH,,2.8m,Unverified User Input,https://app.blocksec.com/explorer/tx/polygon/0x3eb2002b46de3e4adee9ed9e093e79582f08fed912194d6e869e6cbbf97eb6e9|https://app.blocksec.com/explorer/tx/eth/0x30fef86a72ea7e1109ffeae572439995c78561ffeb968dcbd61c609efc60fdd9|https://app.blocksec.com/explorer/tx/eth/0x57b736acc7a71a5d7d28f0abcf2d0b6553623ad480464ec347ebb30ab05aae33|https://app.blocksec.com/explorer/tx/eth/0x398a7ea42fab5228200835141bb732843b33943a8cf63bf16104568ccdfded62|https://app.blocksec.com/explorer/tx/eth/0xfcba2c38617edab9abf146bf4381edd2674873cc7bae9c6ba505a45e03a7228b|https://app.blocksec.com/explorer/tx/eth/0xbe79c19ab998540e35a514b24ce65c1857c5604e6c0f8f2b485a53002cf02739|https://app.blocksec.com/explorer/tx/eth/0x71369909c1473635961d7618484705b6a83faf55e0e6b6f885ad0c9ed0d97d56|https://app.blocksec.com/explorer/tx/eth/0x68c900fb23f766ee989b73c9845cc1d98ceadbd36f586e2db47d5acfe60857e2|https://app.blocksec.com/explorer/tx/eth/0x610c0f7b64567fa173c701ec106acb192f6ccda5492e2c1d2e39c8a43493f954|https://app.blocksec.com/explorer/tx/eth/0x45534e2b0d807a4b427498b973e6e02bab0ca6857b29e7c0888e9f3e03fcc0e5|https://app.blocksec.com/explorer/tx/eth/0xdd6e9625a9f9d7d91b00aad8d4bbfdc1fef4553a0b21b6f26a4a29cdfcbb4889|https://app.blocksec.com/explorer/tx/eth/0xbe86b5b967a67365e7430ddd1bdf24556c64d1f6ab1e0898c67cf18c62ee584b|https://app.blocksec.com/explorer/tx/eth/0x871cbbf381295e1c1f9014e036d2a6e860ad7571fdee03a10a40be6a905fc499|https://app.blocksec.com/explorer/tx/eth/0xc12a4155c2c90707138e4aef8883c8f724371145823e2f661f19b93e5b3a9d6e,,
2024.3.14,MO Token,Optimism Optimism Optimism Optimism Optimism Optimism,,750k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/optimism/0xedad1792eef7dcb6a4bd515d3d42a9cb4bd9f10c0e2979591fc6d25156ce865c|https://app.blocksec.com/explorer/tx/optimism/0x4ec3061724ca9f0b8d400866dd83b92647ad8c943a1c0ae9ae6c9bd1ef789417|https://app.blocksec.com/explorer/tx/optimism/0x7168160b315350063896ef732d8005a4d36ffd0534e0ee3d58e82271b30b9f6a|https://app.blocksec.com/explorer/tx/optimism/0x2fb0cf4cdbca04019c679dfa51ae1d8f34153c2725ddb998f9959ef87dc174dd|https://app.blocksec.com/explorer/tx/optimism/0xbfd5dd87b9f80b377ca8649d95e4c788336c7913498c1063fa8a88fd624cd80e|https://app.blocksec.com/explorer/tx/optimism/0xb5700b647d13c625b405b57d4429ffc5902aa29a5b4888c3cf93245b279ae02d,,
2024.3.19,ParaSwap,Optimism Optimism ETH Optimism Arbitrum Base Polygon ETH,,300k,Access Control Issue,https://app.blocksec.com/explorer/tx/optimism/0x7da5cc55e0b386d117b78cf63ccac0dd67e34718e8be72e8a07068639039bede|https://app.blocksec.com/explorer/tx/optimism/0x479cf357964bb3bc79e675f2f20b0850d2bc022edbfa596275477bfb57215dcb|https://app.blocksec.com/explorer/tx/eth/0x1e73c4205822c28a5cb85fa354771bb4a72eb1778b68932e7ab7ba9559db09ec|https://app.blocksec.com/explorer/tx/optimism/0xb19f93865b3ec5c3c0beb4537e4ae49c211ab6480a66ea44e0fcfa57879317b5|https://app.blocksec.com/explorer/tx/arbitrum/0x5810fac8671043df0c2c63b6a0e34537ee68a2a9cb26bcdfcf8f7790caa25f16|https://app.blocksec.com/explorer/tx/base/0x018159bb9d694362b344036081f13c0977aabdf846dd3fd6026f47ca575340c4|https://app.blocksec.com/explorer/tx/polygon/0x197dd5574438d20582d0c7eb7ab8e39d11bbb01c5473031af284a257bac24b08|https://app.blocksec.com/explorer/tx/eth/0x35a73969f582872c25c96c48d8bb31c23eab8a49c19282c67509b96186734e60,,
2024.3.23,ARK Token,BSC,,200k,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0xe8b0131fa14d0a96327f6b5690159ffa7650d66376db87366ba78d91f17cd677,,
2024.3.23,Curio Ecosystem,ETH,,100k,Governance Attack,https://app.blocksec.com/explorer/tx/eth/0x4ff4028b03c3df468197358b99f5160e5709e7fce3884cc8ce818856d058e106,,
2024.3.25,ZongZi Token,BSC,,223k,Vulnerable Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0x247f4b3dbde9d8ab95c9766588d80f8dae835129225775ebd05a6dd2c69cd79f,,
2024.3.28,PrismaFi,ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH,,11.6m,Unverified User Input,https://app.blocksec.com/explorer/tx/eth/0xdc5c56869862f7da6527ec68da9d8e1e04ccc3ca16a6b3ebe8f714432d505245|https://app.blocksec.com/explorer/tx/eth/0x0e38dd693ddbc2f62282932f36a4b8de75f8ea1da530532af26698b4eda9a110|https://app.blocksec.com/explorer/tx/eth/0x3b6c97c76446650e65959723c20489ac792fe9101d57e7349df2ebe9e05d63aa|https://app.blocksec.com/explorer/tx/eth/0xbad3925d76bcde46021b67bf59599f9655d4529682fb21e0ee1a9d27a388e460|https://app.blocksec.com/explorer/tx/eth/0x0c91723ebf69efc84d87ae393af51410491368fe9e9edc29cef38d5479aed140|https://app.blocksec.com/explorer/tx/eth/0x12641ade277ba56215bffe6608fb078beb93bf3bb46a37fba91144790895d580|https://app.blocksec.com/explorer/tx/eth/0xce3cdc7c29eb7dfc565f5d99034789e80c1cd3278adafa26af6f3d21c8412c59|https://app.blocksec.com/explorer/tx/eth/0xcd15358ed1cf3014bb4e88cb1229056cd9a0e81b7d29ede43a4e689e9a97b7a7|https://app.blocksec.com/explorer/tx/eth/0x51ba177ae85e58133c5910e7c3a5d027d2edfa67d10e5e3874c323b88ecc377a|https://app.blocksec.com/explorer/tx/eth/0x395d17328d331d7cdf83097963c3fd8d424d82257d8d6f64618fcc6e1e0065a6|https://app.blocksec.com/explorer/tx/eth/0xfddfb8cbcffb27f9f4564a3a5b0a8adb35bea104afc15d6af49fc004dd7441b0|https://app.blocksec.com/explorer/tx/eth/0xe419162da24761275b7b7e9766f3136ddfd9bdb3c4bff13be685197eed11a3ba|https://app.blocksec.com/explorer/tx/eth/0x4d3831d7dc2496fbcd644a4c4e38efc0bb8d0f09e6daf2118b94262c573ea708|https://app.blocksec.com/explorer/tx/eth/0x5b00512a78bab3a6055d43207ea514f044b25b06c6e4e54b48befceff2c3ac93|https://app.blocksec.com/explorer/tx/eth/0xe15fa959627871845f2f5bbfbd7529e6d2aff20ab14ece743f11641700bd7188|https://app.blocksec.com/explorer/tx/eth/0x0d4b5a415fa9a1452a09f8788c85a4acd2e0866519e73bdc37f5591e027b36ac|https://app.blocksec.com/explorer/tx/eth/0x00c503b595946bccaea3d58025b5f9b3726177bbdc9674e634244135282116c7,,
2024.4.1,OpenLeverage,BSC BSC BSC BSC BSC BSC,,234k,Reentrancy,https://app.blocksec.com/explorer/tx/bsc/0x0434bf08a63d70b84fad033d38d8b645498016b3931af4d13f6c11e86848876b|https://app.blocksec.com/explorer/tx/bsc/0xf08b6d36dc6f650c030344b6307ae94528f77a01db11d1284ed966e7e44337d3|https://app.blocksec.com/explorer/tx/bsc/0xa6a1e1a55985ed1d10bee405da0fd32e0670a075e35fd4bd990f4c309fae2839|https://app.blocksec.com/explorer/tx/bsc/0x73e690d72f6d2cbdbdb23f448e10dacc056c5bf7a090c68979cdef3f3af2e9b0|https://app.blocksec.com/explorer/tx/bsc/0x210071108f3e5cd24f49ef4b8bcdc11804984b0c0334e18a9a2cdb4cd5186067|https://app.blocksec.com/explorer/tx/bsc/0xf78a85eb32a193e3ed2e708803b57ea8ea22a7f25792851e3de2d7945e6d02d5,,
2024.4.1,ATM Token,BSC BSC BSC,,182k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x458ea2d7e6c5953b0d927aabc1c6a144df276d6ffa55b236087763396ee57067|https://app.blocksec.com/explorer/tx/bsc/0x2c110663cbce4aef8bfbe2f729de5f18ca1ae50bada00bc35584ed354d2fde20|https://app.blocksec.com/explorer/tx/bsc/0xee10553c26742bec9a4761fd717642d19012bab1704cbced048425070ee21a8a,,
2024.4.12,SumerMoney,Base,,350k,Reentrancy,https://app.blocksec.com/explorer/tx/base/0x619c44af9fedb8f5feea2dcae1da94b6d7e5e0e7f4f4a99352b6c4f5e43a4661,,
2024.4.19,Hedgey Finance,ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH,,1.8m,Unverified User Input,https://app.blocksec.com/explorer/tx/eth/0x03c73a343b5a481c9431af2f4a2146a0e77522a23e5cca9b2ea024778589967f|https://app.blocksec.com/explorer/tx/eth/0x9215b87e49fdd5b0e9fd4688f2d315dfdefc73655be529cc68aa3547f8828879|https://app.blocksec.com/explorer/tx/eth/0xe118170da24b23a7b05cffbb830fea48ca8b64bc5a0217322c68c30952004cab|https://app.blocksec.com/explorer/tx/eth/0x0e655a77d225838499f340f5ad928acb0571b8f0e6f6fde87e0ce5f3856422d0|https://app.blocksec.com/explorer/tx/eth/0x83cf8aae6477932bcbde5fde814f8ca40c5acec4db04f5924c8f166401d34985|https://app.blocksec.com/explorer/tx/eth/0x353a710d9a52a919a5d7220211f11e7851cf99f1243373376c8eb2e48a94b396|https://app.blocksec.com/explorer/tx/eth/0x91ef02e6a99bf97cf5ff54d7084736f826fb280b1af14819c4d86a63c4145099|https://app.blocksec.com/explorer/tx/eth/0x9edb3c12cd3d3352ec56c8222aaa51bbec3e47b693deb9ffa3bcd0a0060a420c|https://app.blocksec.com/explorer/tx/eth/0xf336ff5c7465893a87c79ac514abe2e3fac1b3e06cbe185c00ea6af18d4e7a84|https://app.blocksec.com/explorer/tx/eth/0x108a52c403fe206bafb34ce1880138f22591f82b0f45c6c77de7c8787dc6a834|https://app.blocksec.com/explorer/tx/eth/0x51988f56315afb8417c48948092fb6c6b1007b52aac98e71b21010ddeafea95c|https://app.blocksec.com/explorer/tx/eth/0x4eb093c25d111efa1e8b7f6dc32cc47573c4651b6ea2e30d74bf2449c796692f|https://app.blocksec.com/explorer/tx/eth/0xd0c23f115c66a060ffab78c91c6f9085db5af6257a72858b7fd4def6b7735617|https://app.blocksec.com/explorer/tx/eth/0xe4dbeba25b0c0d67f8ecaff5ec7c0a9569ddc10c817ab6815d5bc3dfb22e9ec0|https://app.blocksec.com/explorer/tx/eth/0x47da1ac72d488f746865891c9196c1632ae04f018b285b762b2b564ad1d3a9e5|https://app.blocksec.com/explorer/tx/eth/0xa17fdb804728f226fcd10e78eae5247abd984e0f03301312315b89cae25aa517|https://app.blocksec.com/explorer/tx/eth/0x2606d459a50ca4920722a111745c2eeced1d8a01ff25ee762e22d5d4b1595739,,
2024.4.24,YIEDL,BSC BSC BSC BSC BSC BSC BSC,,150k,Unverified User Input,https://app.blocksec.com/explorer/tx/bsc/0x8ef3765665cd849cdf9132ab37caf6aa0f891e1f7d9f418f86a6ab6ea38b6f5b|https://app.blocksec.com/explorer/tx/bsc/0x8710034dadecfc8c26f651c612f613fffdece6e2f9957b9ec8ab843218168c1d|https://app.blocksec.com/explorer/tx/bsc/0x5e468cba495e5f6165418fb9d87d824309c54261055425f33f588dd3b3abbcea|https://app.blocksec.com/explorer/tx/bsc/0x0a89b8670c40b4067b9522a5933c3bf8c44c968103aa642b04c65d49ad9e6457|https://app.blocksec.com/explorer/tx/bsc/0x3629ad588ac120163792e92b6c43bd4bdc5bf35cac66eb7f3a0267df93abc849|https://app.blocksec.com/explorer/tx/bsc/0x0f0d41cb8af42babb043d1ede58ee1f3ab8f87c2c50d5a08c3a12d89cb330299|https://app.blocksec.com/explorer/tx/bsc/0x49ca5e188c538b4f2efb45552f13309cc0dd1f3592eee54decfc9da54620c2ec,,
2024.4.24,SaitaChain,ETH ETH,,1m,Access Control Issue,https://app.blocksec.com/explorer/tx/eth/0x903d88a92cbc0165a7f662305ac1bff97430dbcccaa0fe71e101e18aa9109c92|https://app.blocksec.com/explorer/tx/eth/0xe09d350d8574ac1728ab5797e3aa46841f6c97239940db010943f23ad4acf7ae,,
2024.4.25,NGFS Token,BSC,,190k,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0x8ff764dde572928c353716358e271638fa05af54be69f043df72ad9ad054de25,,
2024.4.25,PikeFinance,ETH Arbitrum,,300k,Unverified User Input,https://app.blocksec.com/explorer/tx/eth/0x167c97b5897d11b23a6694f30acb71e8deead771d22fe88aee04ca8696a2bffa|https://app.blocksec.com/explorer/tx/arbitrum/0x979ad9b7f5331ea8034305a83b5cd50aea88adec395fff8298dd90eb1b87667f,,
2024.4.27,Ember Sword,Polygon,,196k,Access Control Issue,https://app.blocksec.com/explorer/tx/polygon/0x11a62441b20e74d586e761885659c3cb45cbc447c89c73c5fd892a634cb8af76,,
2024.4.30,PikeFinance,ETH Arbitrum Optimism,,1.7m,Storage Collision,https://app.blocksec.com/explorer/tx/eth/0xe2912b8bf34d561983f2ae95f34e33ecc7792a2905a3e317fcc98052bce66431|https://app.blocksec.com/explorer/tx/arbitrum/0xdac6af5695ba00b3d229574dbf7fcc326d16b9f8a52ad2620637d3022956d157|https://app.blocksec.com/explorer/tx/optimism/0x6baa6332f9a3ed75e727311d6317fb636844d61d9df5e199f9f68711eb632d6f,,
2024.5.10,Tsuru,Base,,404k,Access Control Issue,https://app.blocksec.com/explorer/tx/base/0xe63a8df8759f41937432cd34c590d85af61b3343cf438796c6ed2c8f5b906f62,,
2024.5.14,Predy Finance,Arbitrum,,464k,Accounting Error,https://app.blocksec.com/explorer/tx/arbitrum/0xbe163f651d23f0c9e4d4a443c0cc163134a31a1c2761b60188adcfd33178f50f,,
2024.5.14,SonneFinance,Optimism Optimism Optimism Optimism Optimism Optimism Optimism,,20m,Precision Loss,https://app.blocksec.com/explorer/tx/optimism/0xb43748ed668c1e44cf0a3e829ca0fe24eceaee7d33d06072bb11ca99afa7f448|https://app.blocksec.com/explorer/tx/optimism/0x67632758ce19a41648f28fba6d3d87c7248202238234137bb4741da097cfa029|https://app.blocksec.com/explorer/tx/optimism/0x100ff0317251b899fe50baea8d0a107dd2fa9dd3b85dcff66f9841f25dfd1a4d|https://app.blocksec.com/explorer/tx/optimism/0x5729810d3cc325597be4f9c1a1c5d03ebad02c55750b966732ed6ab628a8f722|https://app.blocksec.com/explorer/tx/optimism/0xfea20e78a94b3a34951031e3e6fc71f27c348eb7116dc24a777f46e6fe5a81f6|https://app.blocksec.com/explorer/tx/optimism/0x150a8ad61cdf9ba5a687b9cff95c90aa5eaa825ac1b07c016ccb905f97d511c3|https://app.blocksec.com/explorer/tx/optimism/0x9312ae377d7ebdf3c7c3a86f80514878deb5df51aad38b6191d55db53e42b7f0,,
2024.5.20,Gala,ETH,,21m,Compromised Private Key,https://app.blocksec.com/explorer/tx/eth/0xa6d90abe17d17743a9cecab84bcefb0fd0bbfa0c61bba60fd2f680b0a2f077fe,,
2024.5.24,Kraken,Base,,3m,Accounting Error,https://app.blocksec.com/explorer/tx/base/0xfbf6b17a9de7f9e1e97eb48dc68a993f7663d4b9530a3cd6cc262e554549e59d,,
2024.5.26,Normie,Base,,490k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/base/0xa618933a0e0ffd0b9f4f0835cc94e523d0941032821692c01aa96cd6f80fc3fd,,
2024.5.28,Orion Protocol,BSC,,645k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x660837a1640dd9cc0561ab7ff6c85325edebfa17d8b11a3bb94457ba6dcae18c,,
2024.5.29,MetaDragon,BSC,,180k,Access Control Issue,https://app.blocksec.com/explorer/tx/bsc/0x3ad998a01ad1f1bbe6dba6a08e658c1749dabfa4a07da20ded3c73bcd6970d20,,
2024.5.31,TLN Protocol,BSC,,163k,Vulnerable Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0x1350cc72865420ba5d3c27234fd4665ad25c021b0a75ba03bc8340a1b1f98a45,,
2024.6.1,Velocore,zkSync-Era Linea Linea,,6.8m,Business Logic Flaw,https://app.blocksec.com/explorer/tx/zksync-era/0x4156d73cadc18419220f5bcf10deb4d97a3d3f7533d63ba90daeabc5fd11ba17|https://app.blocksec.com/explorer/tx/linea/0xed11d5b013bf3296b1507da38b7bcb97845dd037d33d3d1b0c5e763889cdbed1|https://app.blocksec.com/explorer/tx/linea/0x37434e674efc4e7cfeed7746095301ace5636028906fe548b786ead286e35eb0,,
2024.6.10,UwU Lend,ETH ETH ETH ETH,,23m,Vulnerable Price Dependency,https://app.blocksec.com/explorer/tx/eth/0x9235e0662e230bdfa94f56f4932fd09a95fea17e4b9b44a4f40a59449e216110|https://app.blocksec.com/explorer/tx/eth/0xca1bbf3b320662c89232006f1ec6624b56242850f07e0f1dadbe4f69ba0d6ac3|https://app.blocksec.com/explorer/tx/eth/0xb3f067618ce54bc26a960b660cfc28f9ea0315e2e9a1a855ede1508eb4017376|https://app.blocksec.com/explorer/tx/eth/0x242a0fb4fde9de0dc2fd42e8db743cbc197ffa2bf6a036ba0bba303df296408b,,
2024.6.13,Holograph,ETH,,1.3m,Compromised Private Key,https://app.blocksec.com/explorer/tx/eth/0x0cc143ccf3316d47b36a2e45577922f4ebe2374966bb22c1e9cf49c747d46396,,
2024.7.05,DeFiPlaza,ETH,,196k,Precision Loss,https://app.blocksec.com/explorer/tx/eth/0xa245deda8553c6e4c575baff9b50ef35abf4c8f990f8f36897696f896f240e3a,,
2024.7.12,Dough Finance,ETH ETH ETH ETH ETH,,1.8m,Access Control Issue,https://app.blocksec.com/explorer/tx/eth/0x589e9a809ba14ff30fa22333f2432c364377df9ebf2681b6321aaca3028ff613|https://app.blocksec.com/explorer/tx/eth/0x4d52f0dad3ddb7ac5523c51a75a9acd47b244e536b240d692784305b69ca6ab5|https://app.blocksec.com/explorer/tx/eth/0xf356d1b05d26de824baddf1a575a33dcf63e2ecec2a0eaa37b15653b94845b63|https://app.blocksec.com/explorer/tx/eth/0x28a934816ed0371a3fbb2f89986eecf87a22937c40309ff2f58697792215b4da|https://app.blocksec.com/explorer/tx/eth/0x92cdcc732eebf47200ea56123716e337f6ef7d5ad714a2295794fdc6031ebb2e,,
2024.7.14,Minterest Finance,Mantle,,1.5m,Reentrancy,https://app.blocksec.com/explorer/tx/mantle/0xb3c4c313a8d3e2843c9e6e313b199d7339211cdc70c2eca9f4d88b1e155fd6bd,,
2024.7.16,LI.FI,ETH Arbitrum ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH ETH,,11m,Arbitrary Call,https://app.blocksec.com/explorer/tx/eth/0x82f47783e8d3029767090ed9a5ac3e2774d04b8fe908c9ca1f959d1b8c6a83a9|https://app.blocksec.com/explorer/tx/arbitrum/0x48be219ac50107de5a02b417624120f4148b4fe1c01a226c672f838a5e6e0986|https://app.blocksec.com/explorer/tx/eth/0x96436532daf9d1028117945315c565b310f76a2d94e6d176b1aefe5cb0be9144|https://app.blocksec.com/explorer/tx/eth/0x047056478cabe20b7c32a85b34f558dd90e7b3235b77d1a4342fdc15b74c910f|https://app.blocksec.com/explorer/tx/eth/0x909f5000636dce99528ab9a14475744e481a6b4e060fc693cf6e0fca48fa7deb|https://app.blocksec.com/explorer/tx/eth/0xaa88931369fc09f507c9a02b9ccbc6bec1eca83845745ceb551c1f9fba157c4a|https://app.blocksec.com/explorer/tx/eth/0x728c9bf98fcb1f35dd6551fb7a411e841570d2f73ac408916698cecdcffde36a|https://app.blocksec.com/explorer/tx/eth/0xa67d8a6d59dc258e74a93a22abd26d49d159fb123dbe243d3c5b6b41a499086b|https://app.blocksec.com/explorer/tx/eth/0x0729eda09a8b5743d7328a717019d51b2a05634d6fe764d5213fd6fb3e303f59|https://app.blocksec.com/explorer/tx/eth/0x46c001fb4149c2381196c8e1428d966dc44dd46061f8ecf8383a5363adeee312|https://app.blocksec.com/explorer/tx/eth/0x65a92b189e4ae0b8a8a02cd59c5e9f6832586bd5167d41a24eb4f4d2ac692755|https://app.blocksec.com/explorer/tx/eth/0x2cb7206f1067df3e9e4b9e5d05139c4a907f69e235f3ce0f64e424a874c65d54|https://app.blocksec.com/explorer/tx/eth/0x57ff54bda419773a31653fe63dbb00981b6e971b4c2b2b650c2f10b4342f8464|https://app.blocksec.com/explorer/tx/eth/0xde084e8c7cdec910d17ad7aeaa24a2973fc8c36add6d83a42de15446ddaaca5d|https://app.blocksec.com/explorer/tx/eth/0xa63052e97b989eecd789b76f670d6a5ed8a72334ce99831a36d7a642b087537f|https://app.blocksec.com/explorer/tx/eth/0x606a49471ebcb608bf034abd982750d626b7eaf45a963118d5aae5baae4a2da2|https://app.blocksec.com/explorer/tx/eth/0x86fe6933f03c14f75167e560e6635a23fab59b268e68c86d60c4d46afe0aeabc|https://app.blocksec.com/explorer/tx/eth/0xd82fe84e63b1aa52e1ce540582ee0895ba4a71ec5e7a632a3faa1aff3e763873|https://app.blocksec.com/explorer/tx/eth/0x602d810c47a9022b422cf2fa32ec973f887a72df78d40e448d511e82eba5a38a,,
2024.7.18,WazirX,ETH,,207m,Compromised Private Key,https://app.blocksec.com/explorer/tx/eth/0x48164d3adbab78c2cb9876f6e17f88e321097fcd14cadd57556866e4ef3e185d,,
2024.7.21,UPS,BSC,,521k,Business Logic Flaw,https://app.blocksec.com/explorer/tx/bsc/0x1ddf415a4b18d25e87459ad1416077fe7398d5504171d4ca36e757b1a889f604,,
2024.7.22,DeltaPrime,Arbitrum Arbitrum,,1m,Misconfiguration,https://app.blocksec.com/explorer/tx/arbitrum/0xc4350cf22cabfd88e4221d3496e84cd28841682d60ef89020622844e5879b99f|https://app.blocksec.com/explorer/tx/arbitrum/0x7d6220913cc4a1307f98c4c4b351264d8d02eb2f0e39b5fbf85d0e90594cfdf3,,
2024.7.23,Spectra,ETH,,550k,Arbitrary Call,https://app.blocksec.com/explorer/tx/eth/0x491cf8b2a5753fdbf3096b42e0a16bc109b957dc112d6537b1ed306e483d0744,,
2024.8.1,Convergence,ETH,,210k,Unverified User Input,https://app.blocksec.com/explorer/tx/eth/0x636be30e58acce0629b2bf975b5c3133840cd7d41ffc3b903720c528f01c65d9,,
2024.8.6,TokenStake (Unknown),BSC BSC BSC BSC BSC BSC BSC BSC BSC BSC,,578k,Vulnerable Price Dependency,https://app.blocksec.com/explorer/tx/bsc/0xb0454dc07a6cc328ea517dbebd8c90fe569d78d443e5170a815a65fe0bf28970|https://app.blocksec.com/explorer/tx/bsc/0x3065bdbc88ff9c7e5bd40c7bf0aab3bf3ffa9b3c3d5ab0744fe774a8f68d0357|https://app.blocksec.com/explorer/tx/bsc/0x2dd67488d958d5d966b779e84678c696eeb1e8eb6ee924b6dbad7232b3677315|https://app.blocksec.com/explorer/tx/bsc/0xb1ad1188d620746e2e64785307a7aacf2e8dbda4a33061a4f2fbc9721048e012|https://app.blocksec.com/explorer/tx/bsc/0x9bc904b75921b396b0e4b93a21f298b5204cf8e01e79930f546b2e9bfad71bb2|https://app.blocksec.com/explorer/tx/bsc/0x76fe3e98a02ef7c3f233415d75a513f6a322188c756ca29f81422d5425e7c7c0|https://app.blocksec.com/explorer/tx/bsc/0x48c2762faf142c344085127b70367e9da2fc6b820589218777cc936d502f6547|https://app.blocksec.com/explorer/tx/bsc/0xffe9ca7960c68a036d2702edb4978ac2eb2c0b8423f60c80a6dc489fb379ff7c|https://app.blocksec.com/explorer/tx/bsc/0x8ae7c021ac1e6ec354d647c4a586a41ebc850b4a4dc21cf7ab1f2257120107a9|https://app.blocksec.com/explorer/tx/bsc/0x94ff0c3f3177a6ffd3365652ae2dc1f0a4ecf5f5758df1fdc3339303992a2ae4,,
2024.8.6,Ronin Bridge,ETH ETH ETH,,11.8m,Misconfiguration,https://app.blocksec.com/explorer/tx/eth/0xbce5b8548db486c561948e8a177c8ccaa72810f972cee3909ea50af015a60ad8|https://app.blocksec.com/explorer/tx/eth/0x77bb83dd9b25a0af12c0092993ddf1a2f54b77fbcd1dbf1bf33a965ec707268b|https://app.blocksec.com/explorer/tx/eth/0x2619570088683e6cc3a38d93c3d98899e5783864e15525d5f5810c11189ba6cb,,
2024.8.12,iVest Token,BSC,,172k,Double Accounting,https://app.blocksec.com/explorer/tx/bsc/0x12f27e81e54684146ec50973ea94881c535887c2e2f30911b3402a55d67d121d,,
2024.8.13,VOW,ETH ETH,,1m,Misconfiguration,https://app.blocksec.com/explorer/tx/eth/0xb569340f147cb6d5722490221ba65950a870aaa4db6ab835b8aa128c5dee36b3|https://app.blocksec.com/explorer/tx/eth/0x758efef41e60c0f218682e2fa027c54d8b67029d193dd7277d6a881a24b9a561,,
2023.12.31,Channels,BSC,,4.4k,,https://app.blocksec.com/explorer/tx/bsc/0xcf729a9392b0960cd315d7d49f53640f000ca6b8a0bd91866af5821fdf36afc5,,
